month,page,impressions,clicks,ctr,position
2026-08,/es/miami,138,0,0,42.82608695652174
2026-08,/es/houston,43,0,0,18.72093023255814
2026-08,/en/houston,28,1,0.03571428571428571,31.642857142857142
2026-08,/es/miami/ecommerce,28,1,0.03571428571428571,13.678571428571429
2026-08,/en/miami,23,0,0,26.869565217391305
2026-08,/es/blog/cuanto-cuesta-chatbot-whatsapp-guia,15,0,0,8.266666666666666
2026-08,/es/blog/ia-que-contesta-llamadas-mensajes-perdidos,13,0,0,6.076923076923077
2026-08,/en,11,0,0,3.1818181818181817
2026-08,/es/blog,7,0,0,2.857142857142857
2026-08,/en/privacy,6,0,0,5.833333333333333
2026-08,/es/ciudades,6,0,0,5
2026-08,/en/blog,5,0,0,4.6
2026-08,/en/miami/conversational-ai,5,0,0,23.6
2026-08,/es/blog/precio-pagina-web-houston-guia,5,0,0,1.8
2026-08,/es/houston/diseno-web,5,0,0,6.8
2026-08,/es/blog/diseno-web-restaurantes-menu-pedidos-whatsapp,4,0,0,1.5
2026-08,/en/pricing/chatbot-cost,3,0,0,28
2026-08,/en/terms,3,0,0,8
2026-08,/es/blog/como-elegir-agencia-diseno-web-hispana,3,0,0,1
2026-08,/es/houston/katy,3,0,0,2.6666666666666665
2026-08,/es/portafolio,3,0,0,6.333333333333333
2026-08,/en/houston/bilingual-web-design,2,0,0,31
2026-08,/es,2,0,0,1.5
2026-08,/es/houston/contratistas,2,0,0,8.5
2026-08,/es/houston/talleres-mecanicos,2,0,0,9.5
2026-08,/es/servicios,2,0,0,8.5
2026-08,/en/about,1,0,0,6
2026-08,/en/houston/beauty-salons,1,0,0,26
2026-08,/en/houston/branding,1,0,0,2
2026-08,/en/houston/real-estate,1,0,0,66
2026-08,/en/houston/sugar-land,1,0,0,64
2026-08,/en/houston/web-design,1,0,0,76
2026-08,/es/houston/abogados-inmigracion,1,0,0,7
2026-08,/es/sobre-nosotros,1,0,0,3
